STATION,LNG,LAT,DEPTH
1,-123.42675,48.99455,249
3,-123.2555833,49.02818333,84
7,-123.3785,49.22841667,239
10,-123.5521667,49.25031667,349
11,-123.6504667,49.21606667,379
13,-123.5322667,49.06255,269
16,-123.5169167,49.12988333,358
19,-123.3778167,48.95635,206
22,-123.0950833,48.84013333,195
23,-123.1926667,48.898,131
24,-123.7407333,49.18286667,121
27,-123.5528833,49.30931667,183
30,-123.8707333,49.38673333,300
33,-123.6222333,49.37978333,171
36,-124.224,49.36688333,312
40,-124.4059667,49.40855,319
43,-124.5742667,49.46016667,207
46,-124.4973333,49.51385,172
51,-124.4417333,49.75708333,319
54,-124.2479833,49.6656,371
59,-124.5685,49.66668333,247
62,-124.6886167,49.66191667,155
68,-124.7296167,49.76368333,346
71,-124.8074667,49.84293333,187
77,-124.7655167,50.13203333,467
80,-125.0090333,50.20633333,492
82,-124.9557667,49.94648333,173
